Bob Dylan	male	Nobel Prize in Literature	2016-01-01T00:00:00Z	1941-05-24T00:00:00Z	Duluth	United States of America	
Dario Fo	male	Nobel Prize in Literature	1997-01-01T00:00:00Z	1926-03-24T00:00:00Z	Sangiano	Italy	2016-10-13T00:00:00Z
Joseph Brodsky	male	Nobel Prize in Literature	1987-01-01T00:00:00Z	1940-05-24T00:00:00Z	Saint Petersburg	Russia	1996-01-28T00:00:00Z
Gabriel García Márquez	male	Nobel Prize in Literature	1982-01-01T00:00:00Z	1927-03-06T00:00:00Z	Aracataca	Colombia	2014-04-17T00:00:00Z
Günter Grass	male	Nobel Prize in Literature	1999-01-01T00:00:00Z	1927-10-16T00:00:00Z	Gdańsk	Poland	2015-04-13T00:00:00Z
Marie Curie	female	Nobel Prize in Physics	1903-01-01T00:00:00Z	1867-11-07T00:00:00Z	Warsaw	Poland	1934-07-04T00:00:00Z
Winston Churchill	male	Nobel Prize in Literature	1953-01-01T00:00:00Z	1874-11-30T00:00:00Z	Blenheim Palace	United Kingdom	1965-01-24T00:00:00Z
Mo Yan	male	Nobel Prize in Literature	2012-01-01T00:00:00Z	1955-02-17T00:00:00Z	Gaomi	People's Republic of China	
Max Planck	male	Nobel Prize in Physics	1918-01-01T00:00:00Z	1858-04-23T00:00:00Z	Kiel	Germany	1947-10-04T00:00:00Z
Max Planck	male	Nobel Prize in Physics	1918-01-01T00:00:00Z	1858-04-23T00:00:00Z	Kiel	Germany	1947-12-04T00:00:00Z
Charles K. Kao	male	Nobel Prize in Physics	2009-01-01T00:00:00Z	1933-11-04T00:00:00Z	Shanghai	People's Republic of China	2018-09-23T00:00:00Z
George Bernard Shaw	male	Nobel Prize in Literature	1925-01-01T00:00:00Z	1856-07-26T00:00:00Z	Dublin	Ireland	1950-11-02T00:00:00Z
Ernest Hemingway	male	Nobel Prize in Literature	1954-01-01T00:00:00Z	1899-07-21T00:00:00Z	Oak Park	United States of America	1961-07-02T00:00:00Z
Bertrand Russell	male	Nobel Prize in Literature	1950-01-01T00:00:00Z	1872-05-18T00:00:00Z	Trellech	United Kingdom	1970-02-02T00:00:00Z
Albert Camus	male	Nobel Prize in Literature	1957-01-01T00:00:00Z	1913-11-07T00:00:00Z	Dréan	Algeria	1960-01-04T00:00:00Z
Thomas Mann	male	Nobel Prize in Literature	1929-01-01T00:00:00Z	1875-06-06T00:00:00Z	Lübeck	Germany	1955-08-12T00:00:00Z
José Saramago	male	Nobel Prize in Literature	1998-01-01T00:00:00Z	1922-11-16T00:00:00Z	Azinhaga	Portugal	2010-06-18T00:00:00Z
José Saramago	male	Nobel Prize in Literature	1998-01-01T00:00:00Z	1922-11-16T00:00:00Z	Golegã	Portugal	2010-06-18T00:00:00Z
Samuel Beckett	male	Nobel Prize in Literature	1969-01-01T00:00:00Z	1906-04-13T00:00:00Z	Foxrock	Ireland	1989-12-22T00:00:00Z
T. S. Eliot	male	Nobel Prize in Literature	1948-01-01T00:00:00Z	1888-09-26T00:00:00Z	St. Louis	United States of America	1965-01-04T00:00:00Z
William Faulkner	male	Nobel Prize in Literature	1949-01-01T00:00:00Z	1897-09-25T00:00:00Z	New Albany	United States of America	1962-07-06T00:00:00Z
John Steinbeck	male	Nobel Prize in Literature	1962-01-01T00:00:00Z	1902-02-27T00:00:00Z	Salinas	United States of America	1968-12-20T00:00:00Z
Richard Feynman	male	Nobel Prize in Physics	1965-01-01T00:00:00Z	1918-05-11T00:00:00Z	Far Rockaway	United States of America	1988-02-15T00:00:00Z
Mario Vargas Llosa	male	Nobel Prize in Literature	2010-01-01T00:00:00Z	1936-03-28T00:00:00Z	Arequipa	Peru	
Wole Soyinka	male	Nobel Prize in Literature	1986-01-01T00:00:00Z	1934-07-13T00:00:00Z	Abeokuta	Nigeria	
Hendrik Lorentz	male	Nobel Prize in Physics	1902-01-01T00:00:00Z	1853-07-18T00:00:00Z	Arnhem	Netherlands	1928-02-04T00:00:00Z
Jean-Marie Gustave Le Clézio	male	Nobel Prize in Literature	2008-01-01T00:00:00Z	1940-04-13T00:00:00Z	Nice	France	
Tomas Tranströmer	male	Nobel Prize in Literature	2011-01-01T00:00:00Z	1931-04-15T00:00:00Z	Stockholm	Sweden	2015-03-26T00:00:00Z
Sully Prudhomme	male	Nobel Prize in Literature	1901-01-01T00:00:00Z	1839-03-16T00:00:00Z	Paris	France	1907-09-07T00:00:00Z
